No,Name Autobot,Team,Klasifikasi,Kategori,Fungsi,Tugas,Tujuan,Links autobuilder
1902,Custom GPT - Bot Strategic Risk Identification System,Aegis,Identifikasi & Penilaian Risiko,Identifikasi & Penilaian Risiko,Menilai risiko strategis,Mengidentifikasi dan menilai risiko strategis perusahaan,Mengurangi dampak negatif dari keputusan strategis,https://chatgpt.com/g/g-6865e60bf72c81919a18c80f26bf4a61-autobot-builder-gpt-engineer/c/688492ec-369c-8326-a830-6b63079a1cd1
1903,Custom GPT - Bot Risk Rating System,Aegis,Identifikasi & Penilaian Risiko,Identifikasi & Penilaian Risiko,Memberikan rating terhadap risiko,Menilai dan memberikan penilaian terhadap risiko,Membantu dalam pengambilan keputusan berbasis risiko,https://chatgpt.com/g/g-6865e60bf72c81919a18c80f26bf4a61-autobot-builder-gpt-engineer/c/688492f2-7b1c-832c-af7c-1f2fa2ea7f43
1904,Custom GPT - Bot Crisis Risk Prediction Bot,Aegis,Identifikasi & Penilaian Risiko,Identifikasi & Penilaian Risiko,Memprediksi risiko krisis,Menggunakan data untuk memprediksi potensi krisis,Mencegah atau merespon krisis dengan cepat,https://chatgpt.com/g/g-6865e60bf72c81919a18c80f26bf4a61-autobot-builder-gpt-engineer/c/688492fe-a7c4-832d-9d75-52aa35e7f4fa
1905,Custom GPT - Bot Human Resource Risk Assessment,Aegis,Identifikasi & Penilaian Risiko,Identifikasi & Penilaian Risiko,Menilai risiko yang terkait dengan sumber daya manusia,Melakukan evaluasi terhadap faktor risiko SDM,Mengoptimalkan pengelolaan sumber daya manusia,https://chatgpt.com/g/g-6865e60bf72c81919a18c80f26bf4a61-autobot-builder-gpt-engineer/c/68849306-01e0-8320-b3c4-13c134f12e12
1906,Custom GPT - Bot Reputational Risk Analyzer,Aegis,Identifikasi & Penilaian Risiko,Identifikasi & Penilaian Risiko,Menganalisis risiko reputasi,Memantau dan menilai potensi ancaman terhadap reputasi perusahaan,Menjaga citra dan reputasi perusahaan,https://chatgpt.com/g/g-6865e60bf72c81919a18c80f26bf4a61-autobot-builder-gpt-engineer/c/6884930d-776c-832c-9446-447e2869cf6e
1907,Custom GPT - Bot Risk Mitigation Strategy Generator,Aegis,Mitigasi Risiko,Mitigasi Risiko,Menghasilkan strategi mitigasi risiko,Membuat rencana untuk mengurangi dampak risiko,Mengurangi dampak dan mencegah terjadinya risiko,https://chatgpt.com/g/g-6865e60bf72c81919a18c80f26bf4a61-autobot-builder-gpt-engineer/c/68849463-5624-8325-92ca-bccc3f5b2329
1908,Custom GPT - Bot Risk Reduction Plan Development,Aegis,Mitigasi Risiko,Mitigasi Risiko,Mengembangkan rencana pengurangan risiko,Membuat dan mengimplementasikan rencana pengurangan risiko,Mengurangi kemungkinan terjadinya kerugian besar,https://chatgpt.com/g/g-6865e60bf72c81919a18c80f26bf4a61-autobot-builder-gpt-engineer/c/6884946d-d334-8325-876f-04914236df55
1909,Custom GPT - Bot Risk Control & Preventive Measures Tracker,Aegis,Mitigasi Risiko,Mitigasi Risiko,Memantau kontrol dan langkah preventif,Mengawasi dan melacak tindakan pengendalian risiko,Menjamin langkah-langkah pengendalian efektif,https://chatgpt.com/g/g-6865e60bf72c81919a18c80f26bf4a61-autobot-builder-gpt-engineer/c/68849476-5bbc-8326-bbf1-fa0b2c211e96
1910,Custom GPT - Bot Crisis Response Readiness Plan,Aegis,Mitigasi Risiko,Mitigasi Risiko,Menyusun rencana kesiapan respons krisis,Merencanakan dan mempersiapkan respons krisis,Memastikan organisasi siap menghadapi krisis,https://chatgpt.com/g/g-6865e60bf72c81919a18c80f26bf4a61-autobot-builder-gpt-engineer/c/6884947e-c250-832e-a6e6-2c04fb665948
1911,Custom GPT - Bot Operational Risk Mitigation Bot,Aegis,Mitigasi Risiko,Mitigasi Risiko,Mengurangi risiko operasional,Mengidentifikasi dan mengurangi risiko operasional,Mengoptimalkan proses operasional dan efisiensi,https://chatgpt.com/g/g-6865e60bf72c81919a18c80f26bf4a61-autobot-builder-gpt-engineer/c/68849484-2f80-832a-b528-f4657e310c14
1912,Custom GPT - Bot Cybersecurity Risk Mitigation System,Aegis,Mitigasi Risiko,Mitigasi Risiko,Mengurangi risiko terkait ancaman siber,Melakukan mitigasi terhadap risiko keamanan siber,Melindungi infrastruktur dan data organisasi,https://chatgpt.com/g/g-6865e60bf72c81919a18c80f26bf4a61-autobot-builder-gpt-engineer/c/6884948a-10e0-832c-b918-98ea58322cd2
1913,Custom GPT - Bot Financial Risk Reduction Plan,Aegis,Mitigasi Risiko,Mitigasi Risiko,Menyusun rencana pengurangan risiko finansial,Membuat dan menerapkan strategi pengurangan risiko finansial,Mengurangi kerugian finansial akibat risiko,https://chatgpt.com/g/g-6865e60bf72c81919a18c80f26bf4a61-autobot-builder-gpt-engineer/c/6884949a-f7f8-832b-9b00-0aba8ae48553
1914,Custom GPT - Bot Supply Chain Risk Management Bot,Aegis,Mitigasi Risiko,Mitigasi Risiko,Mengelola risiko dalam rantai pasokan,Mengidentifikasi dan mengurangi risiko dalam rantai pasokan,Memastikan kelancaran dan kestabilan supply chain,https://chatgpt.com/g/g-6865e60bf72c81919a18c80f26bf4a61-autobot-builder-gpt-engineer/c/688494a2-00e8-8331-874c-648b428602bb
1915,Custom GPT - Bot Legal Risk Mitigation Bot,Aegis,Mitigasi Risiko,Mitigasi Risiko,Mengurangi risiko hukum,Membuat rencana mitigasi terhadap risiko hukum,Menghindari masalah hukum yang merugikan,https://chatgpt.com/g/g-6865e60bf72c81919a18c80f26bf4a61-autobot-builder-gpt-engineer/c/688494a8-3d4c-8328-8adf-493658502993
1916,Custom GPT - Bot Reputational Damage Control Strategy,Aegis,Mitigasi Risiko,Mitigasi Risiko,Mengendalikan kerusakan reputasi,Menyusun strategi untuk memulihkan citra perusahaan,Memulihkan reputasi perusahaan dari kerugian,https://chatgpt.com/g/g-6865e60bf72c81919a18c80f26bf4a61-autobot-builder-gpt-engineer/c/688494b4-8a18-8330-8d84-a51856512485
1917,Custom GPT - Bot Compliance Risk Mitigation Bot,Aegis,Mitigasi Risiko,Mitigasi Risiko,Memitigasi risiko kepatuhan,Mengidentifikasi dan mengurangi risiko kepatuhan,Memastikan kepatuhan terhadap hukum dan regulasi,https://chatgpt.com/g/g-6865e60bf72c81919a18c80f26bf4a61-autobot-builder-gpt-engineer/c/688494bc-2d2c-832c-b964-e9e7ab953931
1918,Custom GPT - Bot Emergency Response Protocol Generator,Aegis,Mitigasi Risiko,Mitigasi Risiko,Menyusun protokol respons darurat,Merencanakan tindakan darurat terhadap risiko,Mengurangi dampak kerugian akibat keadaan darurat,https://chatgpt.com/g/g-6865e60bf72c81919a18c80f26bf4a61-autobot-builder-gpt-engineer/c/688494c3-6358-8324-9cce-f40a7ee988d4
1919,Custom GPT - Bot Risk Communication Strategy Bot,Aegis,Mitigasi Risiko,Mitigasi Risiko,Mengembangkan strategi komunikasi risiko,Menyusun dan mengimplementasikan rencana komunikasi risiko,Menjaga transparansi dan respons terhadap risiko,https://chatgpt.com/g/g-6865e60bf72c81919a18c80f26bf4a61-autobot-builder-gpt-engineer/c/6884961a-1ab8-832e-9121-6df7fabc6185
1920,Custom GPT - Bot Crisis Impact Minimization Plan,Aegis,Mitigasi Risiko,Mitigasi Risiko,Mengurangi dampak krisis,Membuat rencana untuk mengurangi dampak krisis,Meminimalkan kerusakan akibat krisis yang terjadi,https://chatgpt.com/g/g-6865e60bf72c81919a18c80f26bf4a61-autobot-builder-gpt-engineer/c/68849623-d2dc-8333-ab81-70b12e7a1528
1921,Custom GPT - Bot Risk Control Monitoring System,Aegis,Mitigasi Risiko,Mitigasi Risiko,Memantau pengendalian risiko,Memastikan kontrol risiko berjalan dengan baik,Mengendalikan dan mengurangi dampak risiko secara efektif,https://chatgpt.com/g/g-6865e60bf72c81919a18c80f26bf4a61-autobot-builder-gpt-engineer/c/6884962b-9d28-8325-9d90-1edc7ef31c8f
1922,Custom GPT - Bot Real-Time Risk Monitoring System,Aegis,Pemantauan & Pelaporan Risiko,Pemantauan & Pelaporan Risiko,Memantau risiko secara real-time,Melakukan pemantauan risiko secara langsung,Memberikan informasi risiko yang cepat dan akurat,https://chatgpt.com/g/g-6865e60bf72c81919a18c80f26bf4a61-autobot-builder-gpt-engineer/c/68849633-e308-8324-8088-8646f32eaee7
1923,Custom GPT - Bot Risk Status Dashboard Bot,Aegis,Pemantauan & Pelaporan Risiko,Pemantauan & Pelaporan Risiko,Menampilkan status risiko secara visual,Menyediakan dashboard untuk status risiko terkini,Mempermudah pengambilan keputusan berbasis risiko,https://chatgpt.com/g/g-6865e60bf72c81919a18c80f26bf4a61-autobot-builder-gpt-engineer/c/6884963a-3804-8329-826a-6c59586fd771
1924,Custom GPT - Bot Automated Risk Reporting System,Aegis,Pemantauan & Pelaporan Risiko,Pemantauan & Pelaporan Risiko,Melakukan pelaporan risiko secara otomatis,Mengotomatisasi laporan terkait risiko,Mempercepat pelaporan dan pengambilan keputusan,https://chatgpt.com/g/g-6865e60bf72c81919a18c80f26bf4a61-autobot-builder-gpt-engineer/c/68849640-1bcc-8331-9a94-32b784c6ba10
1925,Custom GPT - Bot Risk Trend Analysis Bot,Aegis,Pemantauan & Pelaporan Risiko,Pemantauan & Pelaporan Risiko,Menganalisis tren risiko,Menganalisis dan mengidentifikasi tren risiko,Membantu dalam perencanaan mitigasi jangka panjang,https://chatgpt.com/g/g-6865e60bf72c81919a18c80f26bf4a61-autobot-builder-gpt-engineer/c/68849650-cb70-8320-b85e-f3219b3a6d66
1926,Custom GPT - Bot KPI-based Risk Reporting Tool,Aegis,Pemantauan & Pelaporan Risiko,Pemantauan & Pelaporan Risiko,Membuat laporan berbasis KPI untuk risiko,Menghasilkan laporan kinerja berbasis indikator risiko,Menilai efektivitas pengendalian risiko yang diterapkan,https://chatgpt.com/g/g-6865e60bf72c81919a18c80f26bf4a61-autobot-builder-gpt-engineer/c/68849658-4ee0-832f-a6cf-7bdbdf242d98
1927,Custom GPT - Bot Risk Exposure Tracker,Aegis,Pemantauan & Pelaporan Risiko,Pemantauan & Pelaporan Risiko,Melacak tingkat eksposur terhadap risiko,Menyediakan pelacakan untuk eksposur risiko,Mengidentifikasi potensi kerugian dari paparan risiko,https://chatgpt.com/g/g-6865e60bf72c81919a18c80f26bf4a61-autobot-builder-gpt-engineer/c/6884965e-47bc-832d-b061-265f861c1daf
1928,Custom GPT - Bot Risk Alerts & Notifications System,Aegis,Pemantauan & Pelaporan Risiko,Pemantauan & Pelaporan Risiko,Mengirimkan pemberitahuan terkait risiko,Memberikan peringatan cepat mengenai risiko yang muncul,Menanggulangi risiko dengan respons yang cepat,https://chatgpt.com/g/g-6865e60bf72c81919a18c80f26bf4a61-autobot-builder-gpt-engineer/c/6884966b-3e90-8329-883b-62e6ffe2f1ae
1929,Custom GPT - Bot Risk Compliance Monitoring Bot,Aegis,Pemantauan & Pelaporan Risiko,Pemantauan & Pelaporan Risiko,Memantau kepatuhan terhadap risiko,Melakukan pemantauan terhadap tingkat kepatuhan risiko,Menjamin kepatuhan regulasi terhadap risiko yang ada,https://chatgpt.com/g/g-6865e60bf72c81919a18c80f26bf4a61-autobot-builder-gpt-engineer/c/68849671-de44-832f-8bdd-e95c80cfa3d3
1930,Custom GPT - Bot Risk Assessment Results Reporting,Aegis,Pemantauan & Pelaporan Risiko,Pemantauan & Pelaporan Risiko,Melaporkan hasil penilaian risiko,Memberikan laporan hasil evaluasi risiko,Memberikan informasi lengkap untuk pengambilan keputusan,https://chatgpt.com/g/g-6865e60bf72c81919a18c80f26bf4a61-autobot-builder-gpt-engineer/c/68849679-a7b8-8324-9f8c-0768effd4979
1931,Custom GPT - Bot Incident Reporting System,Aegis,Pemantauan & Pelaporan Risiko,Pemantauan & Pelaporan Risiko,Melaporkan insiden yang terkait risiko,Menyediakan sistem pelaporan insiden risiko,Mempermudah pelaporan kejadian dan evaluasi risiko,https://chatgpt.com/g/g-6865e60bf72c81919a18c80f26bf4a61-autobot-builder-gpt-engineer/c/688497cf-9a44-8327-88d8-a1f542f4515a
1932,Custom GPT - Bot Risk Impact Review Generator,Aegis,Pemantauan & Pelaporan Risiko,Pemantauan & Pelaporan Risiko,Menghasilkan review dampak risiko,Menyediakan laporan mengenai dampak dari risiko,Membantu dalam menilai kembali kerugian akibat risiko,https://chatgpt.com/g/g-6865e60bf72c81919a18c80f26bf4a61-autobot-builder-gpt-engineer/c/688497db-5c04-8321-b7fb-6959d4ac4410
1933,Custom GPT - Bot Risk Communication & Updates Bot,Aegis,Pemantauan & Pelaporan Risiko,Pemantauan & Pelaporan Risiko,Menyampaikan pembaruan dan komunikasi risiko,Menyediakan pembaruan dan komunikasi risiko terkini,Meningkatkan transparansi dan respons terhadap situasi,https://chatgpt.com/g/g-6865e60bf72c81919a18c80f26bf4a61-autobot-builder-gpt-engineer/c/688497e3-b168-8329-94ab-4873b4a729f7
1934,Custom GPT - Bot Risk Control Effectiveness Report,Aegis,Pemantauan & Pelaporan Risiko,Pemantauan & Pelaporan Risiko,Melaporkan efektivitas kontrol risiko,Mengukur dan melaporkan efektivitas kontrol risiko,Menilai dan memastikan keberhasilan kontrol risiko,https://chatgpt.com/g/g-6865e60bf72c81919a18c80f26bf4a61-autobot-builder-gpt-engineer/c/688497e9-ed14-8324-aa1e-b3de12fe5b67
1935,Custom GPT - Bot Internal Audit Risk Reporting,Aegis,Pemantauan & Pelaporan Risiko,Pemantauan & Pelaporan Risiko,Melakukan pelaporan audit internal terhadap risiko,Mengorganisir pelaporan risiko hasil audit internal,Memastikan bahwa audit internal berjalan dengan baik,https://chatgpt.com/g/g-6865e60bf72c81919a18c80f26bf4a61-autobot-builder-gpt-engineer/c/688497f0-4944-8333-85e9-7ebf91b5095b
1936,Custom GPT - Bot External Risk Monitoring System,Aegis,Pemantauan & Pelaporan Risiko,Pemantauan & Pelaporan Risiko,Memantau risiko dari pihak eksternal,Melakukan pemantauan risiko eksternal,Mengidentifikasi dan mengurangi potensi risiko eksternal,https://chatgpt.com/g/g-6865e60bf72c81919a18c80f26bf4a61-autobot-builder-gpt-engineer/c/688497f6-3fac-8323-b895-6d5c0a20c80b
1937,Custom GPT - Bot Crisis Response Protocol Generator,Aegis,Penanggulangan Krisis,Penanggulangan Krisis,Menyusun protokol respons terhadap krisis,Merancang dan menyusun rencana respons terhadap krisis,Meningkatkan kesiapan dalam menghadapi krisis,https://chatgpt.com/g/g-6865e60bf72c81919a18c80f26bf4a61-autobot-builder-gpt-engineer/c/68849806-d524-8321-b53f-8c9584d0dbe7
1938,Custom GPT - Bot Crisis Communication Plan Bot,Aegis,Penanggulangan Krisis,Penanggulangan Krisis,Menyusun rencana komunikasi saat krisis,Menyusun dan mempersiapkan rencana komunikasi krisis,Memastikan komunikasi yang efektif selama krisis,https://chatgpt.com/g/g-6865e60bf72c81919a18c80f26bf4a61-autobot-builder-gpt-engineer/c/6884980e-4824-832a-9d8e-b6729a10e118
1939,Custom GPT - Bot Emergency Response Team Coordination Bot,Aegis,Penanggulangan Krisis,Penanggulangan Krisis,Koordinasi tim respons darurat,Mengorganisir koordinasi antar tim dalam krisis,Mempercepat respons tim saat terjadi keadaan darurat,https://chatgpt.com/g/g-6865e60bf72c81919a18c80f26bf4a61-autobot-builder-gpt-engineer/c/68849814-6750-8328-9606-e24a576438c4
1940,Custom GPT - Bot Crisis Scenario Simulation System,Aegis,Penanggulangan Krisis,Penanggulangan Krisis,Menyimulasikan skenario krisis,Menyediakan latihan simulasi krisis,Meningkatkan kesiapan tim dalam menghadapi krisis,https://chatgpt.com/g/g-6865e60bf72c81919a18c80f26bf4a61-autobot-builder-gpt-engineer/c/68849820-d91c-8320-a3f9-88c421bc54f9
1941,Custom GPT - Bot Incident Response Tracking Bot,Aegis,Penanggulangan Krisis,Penanggulangan Krisis,Melacak respons terhadap insiden,Memantau proses penanganan insiden krisis,Memastikan setiap langkah penanganan dicatat dengan baik,https://chatgpt.com/g/g-6865e60bf72c81919a18c80f26bf4a61-autobot-builder-gpt-engineer/c/68849828-0f68-8326-8a9d-7a620dedb062
1942,Custom GPT - Bot Crisis Management Dashboard,Aegis,Penanggulangan Krisis,Penanggulangan Krisis,Menyediakan dasbor manajemen krisis,Menampilkan status krisis secara real-time,Mempermudah pemantauan dan respons terhadap krisis,https://chatgpt.com/g/g-6865e60bf72c81919a18c80f26bf4a61-autobot-builder-gpt-engineer/c/68849830-0f78-8326-b20b-467c3b0bd537
1943,Custom GPT - Bot Crisis Impact Assessment Bot,Aegis,Penanggulangan Krisis,Penanggulangan Krisis,Menilai dampak krisis,Menilai dan memitigasi dampak krisis,Meminimalkan kerugian dan kerusakan akibat krisis,https://chatgpt.com/g/g-6865e60bf72c81919a18c80f26bf4a61-autobot-builder-gpt-engineer/c/68849985-6ab0-832b-9aee-c34576b9df1a
1944,Custom GPT - Bot Crisis Response Resource Allocation,Aegis,Penanggulangan Krisis,Penanggulangan Krisis,Mengalokasikan sumber daya untuk respons krisis,Menyediakan sumber daya yang diperlukan untuk penanganan krisis,Memastikan respon krisis berjalan dengan baik,https://chatgpt.com/g/g-6865e60bf72c81919a18c80f26bf4a61-autobot-builder-gpt-engineer/c/68849990-0670-832f-a33c-5c6d3f10826d
1945,Custom GPT - Bot Business Continuity Planning Tool,Aegis,Penanggulangan Krisis,Penanggulangan Krisis,Merencanakan kelangsungan bisnis,Membuat rencana kelangsungan operasi saat krisis,Menjamin kelangsungan operasional selama krisis,https://chatgpt.com/g/g-6865e60bf72c81919a18c80f26bf4a61-autobot-builder-gpt-engineer/c/68849997-b510-832f-b3b8-e8f109f822a8
1946,Custom GPT - Bot Crisis Event Documentation System,Aegis,Penanggulangan Krisis,Penanggulangan Krisis,Mencatat dan mendokumentasikan kejadian krisis,Menyusun dokumentasi kejadian dan langkah-langkah penanganan,Menyimpan catatan yang jelas tentang penanganan krisis,https://chatgpt.com/g/g-6865e60bf72c81919a18c80f26bf4a61-autobot-builder-gpt-engineer/c/6884999f-f734-832a-954a-80678e2f3098
1947,Custom GPT - Bot Crisis Leadership Support System,Aegis,Penanggulangan Krisis,Penanggulangan Krisis,Mendukung kepemimpinan dalam krisis,Menyediakan dukungan kepemimpinan untuk pengambilan keputusan,Meningkatkan ketegasan kepemimpinan dalam krisis,https://chatgpt.com/g/g-6865e60bf72c81919a18c80f26bf4a61-autobot-builder-gpt-engineer/c/688499a6-33b8-8322-9208-20572489982a
1948,Custom GPT - Bot Post-Crisis Evaluation & Debrief Bot,Aegis,Penanggulangan Krisis,Penanggulangan Krisis,Menyusun evaluasi pasca-krisis,Menyediakan wawasan pasca-krisis dan evaluasi kinerja,Mengidentifikasi pembelajaran untuk penanganan di masa depan,https://chatgpt.com/g/g-6865e60bf72c81919a18c80f26bf4a61-autobot-builder-gpt-engineer/c/688499ac-3ab0-8331-b015-d9d9b1f1f3ed
1949,Custom GPT - Bot Crisis Management Best Practices Tracker,Aegis,Penanggulangan Krisis,Penanggulangan Krisis,Menyusun dan memantau praktik terbaik dalam penanggulangan krisis,Menyusun dan melacak praktik terbaik dalam manajemen krisis,Meningkatkan efektivitas dalam mengatasi krisis,https://chatgpt.com/g/g-6865e60bf72c81919a18c80f26bf4a61-autobot-builder-gpt-engineer/c/688499bc-acf8-8331-9c18-53ed3bb2badc
1950,Custom GPT - Bot Crisis Communication Tools & Templates,Aegis,Penanggulangan Krisis,Penanggulangan Krisis,Menyediakan alat dan template komunikasi krisis,Menyusun template dan alat komunikasi krisis,Memastikan komunikasi yang jelas selama krisis,https://chatgpt.com/g/g-6865e60bf72c81919a18c80f26bf4a61-autobot-builder-gpt-engineer/c/688499c4-27b8-8330-9f3f-c45baf1705cc
1951,Custom GPT - Bot Risk-based Crisis Action Plan Generator,Aegis,Penanggulangan Krisis,Penanggulangan Krisis,Menyusun rencana tindakan krisis berbasis risiko,Membuat rencana berdasarkan tingkat risiko yang ada,Mengurangi dampak kerugian dengan pendekatan berbasis risiko,https://chatgpt.com/g/g-6865e60bf72c81919a18c80f26bf4a61-autobot-builder-gpt-engineer?model=o4-mini
1952,Custom GPT - Bot Security & Protection Policy Generator,Aegis,Kebijakan Keamanan & Perlindungan,Kebijakan Keamanan & Perlindungan,Menyusun kebijakan keamanan dan perlindungan,Menyusun kebijakan perlindungan untuk perusahaan,Mengamankan aset perusahaan dari potensi ancaman,https://chatgpt.com/g/g-6865e60bf72c81919a18c80f26bf4a61-autobot-builder-gpt-engineer/c/688499d6-9844-8324-b69c-8675391601d5
1953,Custom GPT - Bot Risk & Security Compliance Check Bot,Aegis,Kebijakan Keamanan & Perlindungan,Kebijakan Keamanan & Perlindungan,Memastikan kepatuhan terhadap kebijakan keamanan,Memantau dan mengevaluasi kepatuhan keamanan,Memastikan perusahaan mematuhi standar keamanan yang berlaku,https://chatgpt.com/g/g-6865e60bf72c81919a18c80f26bf4a61-autobot-builder-gpt-engineer/c/688499db-d794-832b-88df-1e675bc86bca
1954,Custom GPT - Bot Safety Standards Tracker,Aegis,Kebijakan Keamanan & Perlindungan,Kebijakan Keamanan & Perlindungan,Memantau kepatuhan terhadap standar keselamatan,Melacak penerapan standar keselamatan,Menjamin keselamatan dan kesehatan karyawan di tempat kerja,https://chatgpt.com/g/g-6865e60bf72c81919a18c80f26bf4a61-autobot-builder-gpt-engineer/c/688499e5-6774-832d-ab4a-e7a6664053c1
1955,Custom GPT - Bot Data Protection & Security Protocol Generator,Aegis,Kebijakan Keamanan & Perlindungan,Kebijakan Keamanan & Perlindungan,Membuat protokol perlindungan data dan keamanan,Menyusun kebijakan perlindungan data yang kuat,Memastikan data aman dari ancaman eksternal dan internal,https://chatgpt.com/g/g-6865e60bf72c81919a18c80f26bf4a61-autobot-builder-gpt-engineer/c/6884a22f-e3b8-832f-a8e6-5d3fd3167aa1
1956,Custom GPT - Bot Physical Security Risk Assessment Bot,Aegis,Kebijakan Keamanan & Perlindungan,Kebijakan Keamanan & Perlindungan,Menilai risiko terkait dengan keamanan fisik,Mengidentifikasi dan menilai risiko keamanan fisik,Mencegah pelanggaran keamanan fisik dan kebocoran informasi,https://chatgpt.com/g/g-6865e60bf72c81919a18c80f26bf4a61-autobot-builder-gpt-engineer/c/6884a239-a8d4-8332-a368-b8b985d94d68
1957,Custom GPT - Bot Crisis & Emergency Safety Plan Generator,Aegis,Kebijakan Keamanan & Perlindungan,Kebijakan Keamanan & Perlindungan,Menyusun rencana keselamatan dan darurat,Merancang rencana untuk menghadapi situasi darurat,Memastikan keamanan dan kesiapan dalam menghadapi krisis,https://chatgpt.com/g/g-6865e60bf72c81919a18c80f26bf4a61-autobot-builder-gpt-engineer/c/6884a241-0d58-8326-8436-af51fc720b56
1958,Custom GPT - Bot Cybersecurity Policy Development Bot,Aegis,Kebijakan Keamanan & Perlindungan,Kebijakan Keamanan & Perlindungan,Mengembangkan kebijakan keamanan siber,Menyusun kebijakan keamanan siber yang komprehensif,Menjamin perlindungan terhadap ancaman di dunia digital,https://chatgpt.com/g/g-6865e60bf72c81919a18c80f26bf4a61-autobot-builder-gpt-engineer/c/6884a24b-908c-832d-9554-effd2fb78311
1959,Custom GPT - Bot Workplace Safety Compliance System,Aegis,Kebijakan Keamanan & Perlindungan,Kebijakan Keamanan & Perlindungan,Memantau kepatuhan terhadap keselamatan di tempat kerja,Menyusun dan mengevaluasi kebijakan keselamatan,Memastikan lingkungan kerja bebas dari bahaya,https://chatgpt.com/g/g-6865e60bf72c81919a18c80f26bf4a61-autobot-builder-gpt-engineer/c/6884a25b-c3a0-8332-9da2-5d19cde9cbab
